timestamp_ms,emg_quad,ecg_isquio,angulo_relativo
14026,0,2202,20.18
14026,0,1109,19.85
14027,0,1752,19.52
14071,0,2278,19.21
14071,0,1187,18.91
14072,0,1745,18.63
14072,0,2400,18.35
14074,0,1328,18.09
14118,0,1751,17.84
14118,0,2417,17.59
14118,0,1436,17.35
14118,0,1616,17.13
14165,0,2384,16.92
14165,0,1398,16.72
14166,0,1615,16.52
14166,0,2437,16.33
14211,0,1408,16.14
14211,0,1517,15.96
14211,0,2474,15.79
14212,0,1611,15.63
14258,0,1488,15.47
14258,0,2448,15.32
14259,0,1659,15.17
14259,0,1431,15.03
14304,0,2389,14.9
14304,0,1677,14.77
14304,0,1379,14.64
14306,0,2410,14.52
14351,0,1724,14.4
14351,0,1294,14.29
14353,0,2359,14.19
14353,0,1840,14.08
14354,0,1267,13.98
14398,0,2325,13.89
14399,0,1847,13.8
14399,0,1293,13.72
14399,0,2288,13.63
14445,0,1908,13.54
14445,0,1229,13.46
14445,0,2479,13.39
14446,0,1980,13.31
14492,0,1161,13.24
14492,0,2167,13.17
14492,0,2123,13.11
14492,0,1155,13.05
14538,0,2074,13.0
14538,0,2121,12.94
14539,0,1227,12.88
14539,0,2083,12.83
14584,0,2159,12.79
14584,0,1201,12.74
14584,0,2000,12.69
14586,0,2285,12.65
14631,0,1181,12.6
14631,0,1936,12.56
14631,0,2294,12.52
14632,0,1357,12.48
14665,0,1882,12.44
14666,0,2352,12.41
14666,0,1354,12.37
14668,0,1837,12.33
14707,0,2398,12.3
14708,0,1349,12.27
14708,0,1743,12.24
14755,0,2401,12.21
14755,0,1418,12.19
14755,0,1719,12.16
14755,0,2432,12.14
14789,0,1455,12.11
14789,0,1600,12.09
14789,0,2450,12.07
14831,0,1505,12.04
14831,0,1493,12.02
14833,0,2439,12.0
14833,0,1601,11.98
14879,0,1443,11.97
14879,0,2411,11.94
14881,0,1630,11.92
14881,0,1395,11.9
14881,0,2433,11.88
14926,0,1651,11.87
14927,0,1350,11.86
14927,0,2418,11.84
14927,0,1771,11.83
14973,0,1275,11.82
14973,0,2336,11.8
14973,0,1857,11.79
14974,0,1268,11.77
15020,0,2281,11.75
15020,0,1858,11.74
15021,0,1271,11.73
15021,0,2314,11.72
15057,0,1950,11.71
15058,0,1217,11.71
15058,0,2211,11.69
15099,0,2001,11.69
15099,0,1189,11.68
15100,0,2146,11.67
15100,0,2068,11.66
15134,0,1152,11.65
15134,0,2079,11.65
15134,0,2112,11.64
15169,0,1181,11.63
15169,0,1991,11.62
15169,0,2175,11.61
15208,0,1148,11.6
15208,0,1925,11.59
15208,0,2226,11.59
15209,0,1235,11.58
15256,0,1841,11.57
15256,0,2256,11.56
15256,0,1295,11.56
15257,0,1822,11.55
15303,0,2287,11.54
15303,0,1296,11.53
15303,0,1813,11.53
15304,0,2416,11.51
15348,0,1353,11.51
15348,0,1754,11.5
15350,0,2407,11.5
15350,0,1477,11.49
15394,0,1628,11.49
15394,0,2383,11.49
15396,0,1431,11.49
15396,0,1614,11.49
15397,0,2442,11.48
15432,0,1526,11.47
15432,0,1563,11.47
15433,0,2482,11.46
15465,0,1598,11.46
15467,0,1513,11.45
15467,0,2441,11.45
15503,0,1615,11.45
15503,0,1430,11.45
15503,0,2383,11.44
15547,0,1674,11.45
15549,0,1335,11.44
15550,0,2371,11.43
15550,0,1811,11.43
